,feature,median,fold0,fold1,fold2,fold3,fold4
86,Hann_window_mean,50854.30653333664,355.95850372314453,68761.51022148132,46281.647950172424,55426.965116500854,96716.55975532532
14,max_to_min,50435.59641766548,89619.72220420837,33656.40118217468,113900.66415023804,0.0,0.0
150,av_change_abs_roll_mean_1000,50162.56719470024,93617.33508491516,1444.2997102737427,29705.51912498474,62068.04105567932,106485.99053668976
97,abs_max_roll_std_10,49996.84566497803,1865.3400039672852,59246.6178150177,40747.073514938354,62894.65937614441,83215.819896698
96,av_change_rate_roll_std_10,47763.44388628006,50648.835547447205,119754.63213062286,44878.052225112915,162.63240242004395,7159.248797416687
138,q99_roll_std_1000,47458.588435173035,47458.588435173035,66722.55900669098,33113.01505470276,28428.28741168976,115293.60848712921
18,q99,46809.593247413635,2454.463798522949,67734.34899139404,49524.87796497345,46809.593247413635,6826.987112045288
121,std_roll_mean_100,46089.7516708374,103176.01837730408,2198.1344022750854,46089.7516708374,6779.994914054871,85429.79923915863
23,iqr,44490.333647727966,5200.041816711426,41453.55646896362,47527.11082649231,108140.99572181702,97022.77411365509
111,max_roll_std_100,44368.067014694214,37284.93360328674,56259.660596847534,44368.067014694214,92735.63795566559,4954.930504798889
145,min_roll_mean_1000,44233.10145282745,78889.56707572937,63911.5023021698,808.9459075927734,15336.679777145386,24554.700603485107
58,Rmean_last_15000,43772.37285411358,112000.69540500641,39696.3812379837,0.0,53937.046310424805,16140.665966033936
36,std_last_10000,43146.66138315201,65567.63181591034,150613.98607349396,20725.690950393677,1691.0723037719727,2587.866386413574
69,classic_sta_lta3_mean,41990.03560638428,66004.60412406921,147324.9714641571,17975.46708869934,1639.910800933838,1624.3190126419067
5,mad,41638.57002687454,12766.703980445862,2449604.139113426,6994.595769882202,70510.43607330322,81852.88716316223
64,Rmin_last_15000,41037.966753959656,5896.6057205200195,133192.94749450684,52751.7537651062,16584.543076515198,130152.79458522797
60,Rstd_last_15000,40136.75886774063,7420.087568283081,56818.716197013855,51042.315967559814,28521.533269882202,186216.60537338257
71,Moving_average_700_mean,40009.60128545761,7798.420011520386,72220.78255939484,978.8434085845947,93272.59921550751,92933.79134368896
9,mean_change_rate,39486.80159187317,65900.7355928421,122850.3737077713,2237.2101917266846,1522.6634101867676,13072.867590904236
84,MA_1000MA_std_mean,39322.63968372345,6381.070489883423,40815.77452278137,37829.50484466553,94248.68030643463,94394.2456331253
45,mean_change_rate_first_50000,39322.08706951141,95155.43002319336,12109.211702346802,85492.20986175537,1162.2292957305908,685.3339920043945
92,q05_roll_std_10,38638.43641376495,7305132.764101028,38638.43641376495,25804.548107147217,24421.769478797913,83371.06451416016
27,abs_q05,37059.1357049942,149.11310386657715,66367.12794113159,49362.47657203674,506.68299865722656,157753.88539505005
